ruzgardan rüzgardan
açidan açıdan
degismesi değişmesi
oncelıkle öncelikle
restaurantın restoranın
baglantıları bağlantıları
ıncır incir
burda burada
tirnaklari tırnakları
yukari yukarı
ikisindede ikisinde
konusuyor konuşuyor
olasi olası
yagmur yağmur
olasa olursa
espırıler espriler
turkıye türkiye
sıg sığ
pecete peçete
sıf sırf
herhangı herhangi
adınında adımından
konusulur konuşulur
animason animasyon
saatı saati
gectigi geçtiği
olark olarak
yüzğnden yüzünden
agirliklar ağırlıklar
macerali maceralı
yaratik yaratık
muhyeşem muhteşem
gonul gönül
birakiyorum bırakıyorum
arastırırım araştırırım
cekilmis çekilmiş
gıbıydı gibiydi
yuz yüz
yogunluk yoğunluk
paramin paramın
turden türden
buraz biraz
çıkıyo çıkıyor
hesaplarıda hesaplarında
bece bence
toplanti toplantı
dukkani dükkanı
kücük küçük
bekletisi beklentisi
secilmesi seçilmesi
cirkin çirkin
olmadi olmadı
durmasi durması
kapatsinlar kapatsınlar
nalet lanet
güclü güçlü
bicimde biçimde
karsilastirma karşılaştırma
bulamiyor bulamıyor
ayagina ayağına
sankı sanki
teklifii teklifi
birlestirme birleştirme
zamandir zamandır
koyuldugu koyulduğu
kahramanlari kahramanları
dusununce düşününce
cıkmadım çıkmadım
gerçekden gerçekten
olcaktır olacaktır
yaptiklari yaptıkları
umdugumdan umduğumdan
ilği ilgi
arkadaslarimla arkadaşlarımla
demekkı demek
yapcak yapacak
alkıs alkış
oscarın Oscar'ın
edebilecegimiz edebileceğimiz
olani olanı
wiliam William
simena sinema
ceksem çeksem
uygulaniyor uygulanıyor
etmiycem etmeyeceğim
çikma çıkma
etmiycek etmeyecek
lazm lazım
güzl güzel
sıtesınden sitesinden
kiyafetleri kıyafetleri
sicaklik sıcaklık
escinsel eşcinsel
olmayinca olmayınca
olamk olmak
perisan perişan
güvenirliliği güvenilirliği
edecegiz edeceğiz
dekorlari dekorları
heycanı heyecan
turkısh Turkish
kalabalik kalabalık
edecegim edeceğim
bılıyoruz biliyoruz
harikaa harika
degismeli değişmeli
gösterek göstererek
sokmuslar sokmuşlar
birlestirip birleştirip
verdım verdim
degerlerini değerlerini
gördügüm gördüğüm
verdık verdik
agzımız ağzımız
performance performans
yolculugu yolculuğu
serif Şerif
masrafi masrafı
baktıgım baktığım
yerlı yerli
gelıyor geliyor
hatayi hatayı
kisilik kişilik
yolculuga yolculuğa
tarzini tarzını
ayakkabi ayakkabı
olayinda olayında
basındakı başındaki
edemeyecegim edemeyeceğim
haraketli hareketli
irak ırak
soylemem söylemem
soylemek söylemek
lux lüks
aldırıs aldırış
sanli şanlı
ortasi ortası
kişler kişiler
yukselme yükseklik
çikis çıkış
luk lüks
parçasi parçası
kacinilmaz kaçınılmaz
diyince deyince
yuzbasi yüzbaşı
eskılerı eskileri
duşunce düşünce
secilmeli seçilmeli
gormedım görmedim
töbe tövbe
bakis bakış
getiricektir getirecektir
biticek bitecek
bakip bakıp
yapmamasi yapmaması
pekte pek
verın verin
bırısı birisi
bıcakları bıçakları
tekrari tekrarı
keyfını keyfini
istemedigi istemediği
gitmisler gitmişler
orjinalinde orijinalinde
ugramak uğramak
yerınde yerinde
inanamadim inanamadım
sikmayan sıkmayan
bırlesınce birleşince
ekraninda ekran
bencee bence
dusunmuyorum düşünmüyorum
zombı zombi
yokmus yokmuş
bıle bile
katmanli katmanlı
bakiyor bakıyor
dıyaloglar diyaloglar
arkadaslik arkadaşlık
ankarayı Ankara'yı
gecirmesi geçirmesi
etden etten
seref şeref
puani puanı
korktugum korktuğum
kisiler kişiler
alamancı almancı
görüs görüş
zayıft zayıftı
olmamıs olmamış
çocugunun çocuğunun
uçu uç
sınemalarda sinemalarda
yapisal yapısal
degişmiş değişmiş
aamir amir
last lastik
nacizane naçizane
yaslarinda yaşlarında
gıdecek gidecek
dusunulmus düşünülmüş
kisimlarda kısımlarda
dagıtmak dağıtmak
basliyor başlıyor
cevirmisler çevirmişler
olamdığını olmadığını
zayif zayıf
heycani heyecan
inanilir inanılır
gazli gazlı
imperator imparator
hakkınıda hakkında
nehirin nehrin
eglendirdi eğlendirdi
begenırım beğenirim
lazımmı lazım
kapanis kapanış
denınce denince
kapanip kapanıp
hoşdu hoştu
amaciniz amacınız
arkadaslarında arkadaşlarında
ruslari rusları
hatasi hatası
basyapit başyapıt
basliyorsunuz başlıyorsunuz
edilicek edilecek
özellıkle özellikle
dayanilmaz dayanılmaz
yil yıl
eylence eğlence
olmadıgımız olmadığımız
bitmis bitmiş
sikintilar sıkıntılar
cıkarmıs çıkarmış
ortami ortamı
dıyalog diyalog
teknikden teknikten
bolumler bölümler
yasiyor yaşıyor
ayiptir ayıptır
konulari konuları
diyosun diyorsun
olucağını olacağını
belirtiğim belirttiğim
ucaklari uçakları
dogus doğuş
peli pelin
klimt klima
bunlarin bunların
aldıgı aldığı
dogum doğum
dogallik doğallık
yetiskin yetişkin
serafettin Şerafettin
mendıl mendil
teşşekkürlerimi teşekkürlerimi
bıraktıgı bıraktığı
olsaymıs olsaymış
türkiyeye Türkiye'ye
mekani mekanı
tanitim tanıtım
sinemanin sinemanın
mantıgıyla mantığıyla
kalıyo kalıyor
çıkıcaz çıkacağız
kosullar koşullar
surerken sürerken
oturu ötürü
bakimindan bakımından
zevkını zevkini
görebilecegimiz görebileceğimiz
gozu gözü
cocuguyla çocuğuyla
olmassa olmazsa
personal personel
çıkıcak çıkacak
tüğ tüy
seyler şeyler
cıkıs çıkış
cıkıp çıkıp
cıkın çıkın
vazgecip vazgeçip
goze göze
munevver münevver
bulmadim bulmadım
mucadele mücadele
çikan çıkan
yapmamali yapmamalı
almalarini almalarını
verılecek verilecek
duruyolar duruyorlar
hakli haklı
gereginden gereğinden
sinifta sınıfta
verilmemis verilmemiş
özlellikle özellikle
fırsati fırsatı
duzey düzey
farkindayim farkındayım
sayg saygılar
cubuk çubuk
ankaraya Ankara'ya
dedım dedim
edilmisti edilmişti
yapıyosunuz yapıyorsunuz
traşlı tıraşlı
armagan armağan
1960lar 1960'lar
dogru doğru
yep yepyeni
gerektıgı gerektiği
kayitsiz kayıtsız
snra sonra
insaları insanları
dusunceler düşünceler
oluyosunuz oluyorsunuz
aracılıgıyla aracılığıyla
dersane dershane
şim eşim
kanatindeyim kanaatindeyim
digerleri diğerleri
ızledım izledim
arkadaslar arkadaşlar
ızledık izledik
lamb lamba
dusunmeden düşünmeden
guzellik güzellik
begendiğimiz beğendiğimiz
sisirilmis şişirilmiş
birakmayan bırakmayan
ucus uçuş
romanlari romanları
güzell güzel
ucup uçup
güzelk güzel
sokulmus sökülmüş
izliyosunuz izliyorsunuz
güzeld güzeldi
standarti standardı
gozden gözden
kalmiyor kalmıyor
standarta standart
rezıl rezil
anlattıgı anlattığı
ılıskılerın ilişkilerin
begenmıstım beğenmiştim
dogrudur doğrudur
hıtap hitap
maximum maksimum
agirlama ağırlama
ambians ambiyans
kurulmus kurulmuş
baligi balığı
enerjıye enerjiye
ertesı ertesi
liu Liv
yapanlarin yapanların
yesillikler yeşillikler
okumustum okumuştum
hıkaye hikaye
gorunusu görünüşü
kisasi kısası
ortagi ortağı
konusulan konuşulan
hatali hatalı
mugla Muğla
lil Lila
beyenmedım beğenmedim
lik ilk
parcası parçası
muazzamdi muazzamdı
hakkatten hakikaten
lie ile
kufurler küfürler
bekledigimden beklediğimden
yazacam yazacağım
tanrisi tanrısı
lavant lavanta
olmasna olmasına
dışunda dışında
yanik yanık
gaymak kaymak
melegin meleğin
yanii yani
değicek değecek
byük büyük
bırıne birine
sonuc sonuç
avuc avuç
musait müsait
olmus olmuş
gozlukle gözlükle
satt saat
kanimca kanımca
bişe bile
muthisti müthişti
sonuça sonuçta
sati saati
ayrildim ayrıldım
yaklasım yaklaşım
ayrildik ayrıldık
yaklasık yaklaşık
cocukları çocukları
diyalogu diyaloğu
kullaniyor kullanıyor
kaynagı kaynak
adina adına
yapilabilecek yapılabilecek
fevkalede fevkalade
turunde türünde
hakıkaten hakikaten
insanalrı insanları
bitmisti bitmişti
diyaloga diyaloğa
birqz biraz
tanitan tanıtan
olabilcek olabilecek
verecegınız vereceğiniz
değisiyor değişiyor
fıkırlerım fikirlerim
tutarsiz tutarsız
sevındım sevindim
baskalari başkaları
herpsi hepsi
sarkilar şarkılar
adima adıma
vazgecmek vazgeçmek
farkindalik farkındalık
harikaydi harikaydı
hazirlik hazırlık
sarl şarj
uzuntu üzüntü
uzatı uzaktı
les leş
hakknda hakkında
bulamadim bulamadım
basina basına
bızlerı bizleri
insalara insanlara
girdigin girdiğin
hakkinda hakkında
girdigim girdiğim
süphe şüphe
oscarı Oscar'ı
aynanin aynanın
husrana hüsrana
muthiş müthiş
maksatli maksatlı
istemedigimiz istemediğimiz
aratmıycak aratmayacak
aldin aldın
lafi lafı
bırbırlerıyle birbirleriyle
aldim aldım
olmamaliydi olmamalıydı
teknolojısı teknolojisi
olmasin olmasın
acıp açıp
yuksektı yüksekti
derelı dereli
kımse kimse
şidmi şimdi
degnek değnek
güel güzel
peceteleri peçeteleri
digerlerinden diğerlerinden
gozumde gözümde
buyük büyük
dıyecek diyecek
yapilmaliydi yapılmalıydı
alinmiyor alınmıyor
yonetımıyle yönetimiyle
artiyor artıyor
coven çöven
ahmey Ahmet
sikilabilirsiniz sıkılabilirsiniz
dokunmadi dokunmadı
gelebılır gelebilir
arkadasimla arkadaşımla
parcasi parçası
oalcak olacak
karadagli karadağlı
begendım beğendim
yapacagımız yapacağımız
bekliyodum bekliyordum
baktıgınızda baktığınızda
olabilicek olabilecek
ızleyebılırsınız izleyebilirsiniz
onlari onları
sant sanat
sans şans
sıkılmıyosunuz sıkılmıyorsunuz
lar Lara
kilot külot
soyleyim söyleyeyim
saygin saygın
mamma mama
turn tur
edyorum ediyorum
turk türk
dayali dayalı
akisi aksi
varrdı vardı
burdaki buradaki
kotuye kötüye
ıstanbuldakı Istanbul'daki
basindan başından
cocuklari çocukları
tamamlamis tamamlamış
cocuklara çocuklara
kaynagi kaynak
turde türde
konusarak konuşarak
arkadasimin arkadaşımın
yuzunu yüzünü
resmı resmi
gidecegim gideceğim
eksıklıklerı eksiklikleri
safı şafi
ozelikle özelikle
golu golü
enerjı enerji
yaklasimla yaklaşımla
yuzune yüzüne
birka birkaç
ankarali ankaralı
meshur meşhur
alıcağını alacağını
kalıtesı kalitesi
kisilerden kişilerden
locke Lock
dekını dekini
kiliç kılıç
yonelik yönelik
ederrim ederim
almalilar almalılar
freedie Freddie
cikmadan çıkmadan
israrla ısrarla
ayinda ayında
keainlikle kesinlikle
sükür şükür
düsünen düşünen
gercegı gerçeği
açısndan açısından
gorusu görüşü
düşüyo düşüyor
oscara Oscar'a
arkadaslarımdan arkadaşlarımdan
fılmlerde filmlerde
onceligi önceliği
kisiydik kişiydik
yukardan yukarıdan
yapildiktan yapıldıktan
yuksekti yüksekti
soyleyen söyleyen
duvari duvarı
yaparsaniz yaparsanız
birakti bıraktı
muthis müthiş
bulmuslar bulmuşlar
dewam devam
secenek seçenek
zonguldaktan Zonguldak'tan
ediyosun ediyorsun
elestiriler eleştiriler
hıcbırı hiçbiri
zatn zaten
gittm gittim
durumlari durumları
şovalye şövalye
oalbilirdi olabilirdi
yapiyoruz yapıyoruz
maalsef maalesef
kadsr kadar
aydinlik aydınlık
geliyolar geliyorlar
zate zaten
scoot scooter
yapiyorum yapıyorum
henuz henüz
tekirdağda Tekirdağ'da
basladim başladım
kullanilmis kullanılmış
yabanci yabancı
kotusu kötüsü
ugrayan uğrayan
haarika harika
alacagını alacağını
tull tül
digeri diğeri
gozle gözle
göe göre
dogan doğan
stress stres
dogal doğal
gordukten gördükten
çıkmıyo çıkmıyor
kafalığı kafalık
gittiginizde gittiğinizde
rahatsizlik rahatsızlık
veriyo veriyor
cekiyorsunuz çekiyorsunuz
olanaksiz olanaksız
olmaı olması
cıkıyor çıkıyor
kansiz kansız
konulmus konulmuş
bırısıyle birisiyle
beklediginiz beklediğiniz
cıddı ciddi
faydali faydalı
arkadasında arkadaşında
kullanılmıs kullanılmış
ozenli özenli
yaşindaki yaşındaki
türkiyede Türkiye'de
yasadim yaşadım
aşşağıya aşağıya
yasadik yaşadık
ustune üstüne
uzuluyorum üzülüyorum
degmedi değmedi
kisaca kısaca
elestirilecek eleştirilecek
kuyrugu kuyruk
istediginizde istediğinizde
çocugun çocuğun
anlamadigi anlamadığı
bırısıydı birisiydi
uyusturucu uyuşturucu
orjinaldi orijinaldi
gidilicek gidilecek
orjinalde orijinalde
kalıtelı kaliteli
münkün mümkün
gittikce gittikçe
keyifili keyifli
dialog diyalog
gercegi gerçeği
thot Thor
kutahya Kütahya
agırlıklı ağırlıklı
gercege gerçeğe
yapıyolar yapıyorlar
degerlendirecek değerlendirecek
ankarada Ankara'da
konusuyorum konuşuyorum
siradandi sıradandı
mukkemel mükemmel
karsilasmak karşılaşmak
paste pastel
satafatli şatafatlı
dusunuyordum düşünüyordum
kardesı kardeşi
vasitasiyla vasıtasıyla
begenme beğenme
arkadasta arkadaşta
süprizler sürprizler
hakkim hakkım
ucak uçak
saygilarimla saygılarımla
dusundum düşündüm
etkılendım etkilendim
saci saç
bulamiyorsunuz bulamıyorsunuz
gozukuyor gözüküyor
avci avcı
sayilir sayılır
abartili abartılı
mantikli mantıklı
birak bırak
sınema sinema
gereklıdır gereklidir
telekkürler teşekkürler
takii takı
dogrudan doğrudan
verıyorsunuz veriyorsunuz
tartisma tartışma
45lik 45'lik
calısılmıs çalışılmış
getırılen getirilen
resil rezil
kuvetlerde küvetlerde
zamn zaman
milliyetcilik milliyetçilik
onceden önceden
zama zaman
ideas idea
geldım geldim
belırtmek belirtmek
onemlı önemli
altyapisi altyapısı
gorebılıyorsunuz görebiliyorsunuz
sorcak soracak
ortanin ortanın
soylenecek söylenecek
kucagında kucağında
tepesınde tepesinde
30da 30'da
begenmemis beğenmemiş
adeletli adaletli
öncesınde öncesinde
gorulmeye görülmeye
gusel güzel
devamli devamlı
girdigi girdiği
avrupada Avrupa'da
bebattı berbattı
ayarlamislar ayarlamışlar
etmedigi etmediği
kulaga kulak
dakkika dakika
olmas olmaz
olmasiyla olmasıyla
hirs hırs
bilmedigi bilmediği
cikarmak çıkarmak
olmad olmadı
sevgılımle sevgilimle
devr devir
kadini kadın
ustunden üstünden
kilan kılan
kadina kadına
yeterınce yeterince
ızleyeyım izleyeyim
gozuyle gözüyle
zevklı zevkli
dedigin dediğin
dedigim dediğim
idda iddia
hazirliyor hazırlıyor
birakip bırakıp
kalmısım kalmışım
birakin bırakın
kadin kadın
gecmeyen geçmeyen
kullanilan kullanılan
öncellikle öncelikle
kiş kış
yapilsaydi yapılsaydı
insanalrın insanların
pariste Paris'teki
extrem ekstrem
clasik klasik
katiyor katıyor
doganin doğanın
gitim gittim
poter poster
baslıyor başlıyor
fılmının filminin
diyebilieceğimiz diyebileceğimiz
gecti geçti
uzatip uzatıp
cevremle çevremle
sadeve sadece
akici akıcı
basarilar başarılar
gösteriyo gösteriyor
ınandırıcı inandırıcı
kaldim kaldım
vallah vallahi
kaldik kaldık
soyledigi söylediği
kardesi kardeşi
islenmis işlenmiş
etmemis etmemiş
kou koku
kos koş
yazip yazıp
bileceginiz bileceğiniz
akisina akışına
sozum sözüm
begenmemek beğenmemek
yazik yazık
ogrenme öğrenme
dakıkaları dakikaları
hakedıyor hakediyor
simdiki şimdiki
olmayacaginiz olmayacağınız
verılsın verilsin
sevmiyorsaniz sevmiyorsanız
delı deli
emegini emeğini
türkiyeden Türkiye'den
dern dernek
dusunuyor düşünüyor
emeginize emeğinize
zaafiyet zafiyet
emegine emeğine
begenen beğenen
uslubundan üslubundan
calisma çalışma
mükemel mükemmel
knk kanka
zatebn zaten
performens performans
arastirma araştırma
ilginc ilginç
ederiyorum ediyorum
cunkü çünkü
mumkunse mümkünse
onemli önemli
azdir azdır
anlatacagım anlatacağım
arkadasların arkadaşların
gorulmesi görülmesi
canakkale Çanakkale
örnk örnek
geciş geçiş
cektı çekti
baskisi baskısı
begendi beğendi
yagmurlu yağmurlu
basarısız başarışız
muthıstı müthişti
istiyorsaniz istiyorsanız
acacagı açacağı
goruntuleri görüntüleri
rocci Rocco
kasinti kaşıntı
azindan azından
yonde yönde
piano piyano
sivasta Sivas'ta
yildizlar yıldızlar
olmuyan olmayan
kiliyor kılıyor
yapardim yapardım
harcamayin harcamayın
bolumde bölümde
araında arasında
istemiyorsaniz istemiyorsanız
ogrenip öğrenip
yapark yapabilirler
arkadasin arkadaşın
arkadasim arkadaşım
ızleyelım izleyelim
olmasiydi olmasıydı
olmamiza olmamıza
ustelık üstelik
standartin standardın
bılır bilir
teknigi teknik
bılın bilin
ınsanları insanları
bılım bilim
freida Frida
geliceğini geleceğini
dısımız dışımız
ogrenemedık öğrenemedik
acentasına acentesine
demisler demişler
degistirmesi değiştirmesi
kufurlu küfürlü
bizede bizde
keyf keyif
diyebirim diyebilirim
bucuk buçuk
yaklasiyor yaklaşıyor
konusuluyor konuşuluyor
turklere türklere
kufurle küfürle
üc üç
eyre yere
kiz kız
fotograf fotoğraf
kis kış
ayirt ayırt
cunku çünkü
derdını derdini
paylasim paylaşım
gıtmesın gitmesin
birakan bırakan
gecme geçme
numarali numaralı
kilmak kılmak
ızlenecek izlenecek
kadae kadar
baslayayim başlayayım
kadad kadar
verdiginiz verdiğiniz
klasıktır klasiktir
cıkartıcı çıkartıcı
yönledirdiler yönlendirdiler
kahvalti kahvaltı
neymis neymiş
alamazsiniz alamazsınız
kusagi kuşak
kucukler küçükler
horton hortum
atmiyor atmıyor
yetiyo yetiyor
anlaminda anlamında
aldandim aldandım
baslikli başlıklı
çözm çözüm
açmis açmış
olusturdugu oluşturduğu
olamadim olamadım
deko dekorasyon
hangımız hangimiz
olamadik olamadık
verdigim verdiğim
yanliz yalnız
sadakatı sadakati
goruyoruz görüyoruz
yanlis yanlış
vermisler vermişler
destere testere
harıkulade harikulade
filimleri filmleri
kelımeyle kelimeyle
matığı mantığı
cekti çekti
kardeslerım kardeşlerim
goruyorum görüyorum
açısındna açısından
dedınız dediniz
dedı dedi
bediuzzaman Bediüzzaman
olablir olabilir
suleyman Süleyman
saatlerınde saatlerinde
gayat bayat
sozlu sözlü
gormezden görmezden
ucaktan uçaktan
kapatmis kapatmış
köpegi köpek
alıcaz alacağız
parisin Paris'in
inanc inanç
müsade müsaade
alıcaksanız alacaksanız
yillardir yıllardır
sensoy Şensoy
deja dejavu
pinar pınar
yoktür yoktur
alıcam alacağım
arkadasımızın arkadaşımızın
alıcak alacak
acıkcası açıkçası
gecip geçip
konusuyordu konuşuyordu
deil değil
ogrenci öğrenci
mükemmeler mükemmeller
bayagı bayağı
yonunde yönünde
bunalim bunalım
birakarak bırakarak
birazcik birazcık
cekıcı çekici
goremedim göremedim
sarkılar şarkılar
tereddut tereddüt
kuvetleri küvetleri
burdayım buradayım
degisiyor değişiyor
ruchan rüçhan
gosterdigi gösterdiği
dünyanin dünyanın
sartlari şartları
gidiyosun gidiyorsun
degmez değmez
soyleyerek söyleyerek
uyandiriyor uyandırıyor
palamudu palamut
bulamadi bulamadı
dıyo diyor
gerçeten gerçekten
ovgu övgü
inşalah inşallah
bilincli bilinçli
smit Smith
dıye diye
arial Ariel
mehmedin Mehmet'in
hissediyosunuz hissediyorsunuz
tadinda tadında
ceyrek çeyrek
sacmalık saçmalık
hibi gibi
eylenceliydi eğlenceliydi
calisan çalışan
sıstemi sistem
pegasus Pegasus'ta
haytımda hayatımda
kaldıgı kaldığı
gecmesini geçmesini
kavustu kavuştu
tarıhımız tarihimiz
yapistir yapıştır
favorı favori
öylemiş öyleymiş
gercek gerçek
gonderin gönderin
usuyerek üşüyerek
aradakı aradaki
profösyonelce profesyonelce
arkadasımla arkadaşımla
gecer geçer
logana Logan
tavrıda tavrı
heycan heyecan
süprizi sürprizi
sınemalar sinemalar
secerken seçerken
aladdin Alaaddin
islevi işlevi
kac kaç
anlatildi anlatıldı
istedğim istediğim
tawsiye tavsiye
takilip takılıp
saygisizlik saygısızlık
çikisi çıkışı
müthis müthiş
araligi aralığı
lives Live
simulasyon simülasyon
galba galiba
gidicektim gidecektim
gidicektik gidecektik
yabancilik yabancılık
gelecegını geleceğini
olacakdır olacaktır
bügün bugün
dusurdu düşürdü
klübündeki kulübündeki
aldanip aldanıp
uzaklasmak uzaklaşmak
mesgul meşgul
arasindaki arasındaki
sozen Sözen
duydugu duyduğu
harikasi harikası
olmuslar olmuşlar
okudugumda okuduğumda
hatlari hat
zellikle özellikle
tamamem tamamen
demeyı demeyi
yazmıstım yazmıştım
dusunuyorum düşünüyorum
ozelıkle özellikle
ekleyın ekleyin
tekabul tekabül
onerebilirim önerebilirim
yapmişlar yapmışlar
acsalardı açsalardı
ettırmeme ettirmeme
noktasinda noktasında
şeler şeyler
cocuğu çocuğu
guluyor gülüyor
kalabaligin kalabalığın
bekledıgınız beklediğiniz
saymassak saymazsak
partı parti
edilcek edilecek
cikartiyorlar çıkartıyorlar
söylebilirim söyleyebilirim
2008de 2008'de
degerlendirirsek değerlendirirsek
sürpiz sürpriz
ızleyenler izleyenler
garıp garip
cocuğa çocuğa
olustu oluştu
eğtim eğitim
mantiksiz mantıksız
birakiyor bırakıyor
eksık eksik
içide içinde
denmis denmiş
yaniniza yanınıza
söyleyemiycem söyleyemeyeceğim
kessinlikle kesinlikle
cıkması çıkması
çöok çok
cıkacak çıkacak
alcak alçak
odedigim ödediğim
allahtan allah'tan
sureklı sürekli
bırcok birçok
destegi desteği
arasina arasına
cekip çekip
basarililar başarılılar
cekin çekin
kaplp kablo
fılımler filmler
cekim çekim
ığrenç iğrenç
acisindan açısından
derinligi derinliği
kaptim kaptım
gelelım gelelim
basladıgı başladığı
ogretici öğretici
kapli kaplı
söyledigim söylediğim
kedı kedi
cekic çekiç
zamanli zamanlı
muslum Müslüm
egitimi eğitimi
begenerek beğenerek
egitime eğitime
sahnelerı sahneleri
gösteriyolar gösteriyorlar
harcadim harcadım
harcadik harcadık
seslerı sesleri
fatıh fatih
evlenıyor evleniyor
inisli inişli
tercıh tercih
anlasiliyor anlaşılıyor
giriste girişte
guzeldır güzeldir
unutulmus unutulmuş
amaciyla amacıyla
sayin sayın
gecirmis geçirmiş
deymedi değmedi
icki içki
bekledigimiz beklediğimiz
severım severim
bölumde bölümde
konusmak konuşmak
bızlerde bizlerde
vasar vasat
bekledigimin beklediğimin
7th 7.
havayi havayı
hastanelık hastanelik
gordugumuz gördüğümüz
tasarimini tasarımını
müzükler müzikler
ızleyerek izleyerek
kaybettım kaybettim
sürüyo sürüyor
cekirdek çekirdek
degerlendırmek değerlendirmek
geciriyor geçiriyor
vardir vardır
vardim vardım
kısı kişi
ustanin ustanın
gemişe geçmişe
zamanin zamanın
toplayip toplayıp
hukumet hükümet
yanlislikla yanlışlıkla
takilan takılan
seyredıyorum seyrediyorum
altinda altında
kirilma kırılma
dıs dış
hayaldı hayaldi
yabancilar yabancılar
kesınlikle kesinlikle
dıl dil
ayrilip ayrılıp
yaninizda yanınızda
dık dik
saygi saygı
icin için
takilmadan takılmadan
ceker çeker
ayrilik ayrılık
gucluk güçlük
ceken çeken
boslugu boşluğu
party parti
söyliyemiyeceğim söyleyemeyeceğim
kurdugu kurduğu
tebessum tebessüm
basladıkları başladıkları
bırde birde
gulben Gülben
fıyatı fiyatı
günes güneş
bosluga boşluğa
icersinde içerisinde
halıne haline
geliyo geliyor
rağman rağmen
yuzlerce yüzlerce
begenmeyen beğenmeyen
muller Müller
harikadı harikaydı
saygili saygılı
çıkcak çıkacak
castin Justin
kadinlari kadınları
gectim geçtim
salli şallı
bazende bazen
kadinlara kadınlara
çitf çift
isteyebileceginiz isteyebileceğiniz
namina namına
gecirmek geçirmek
bakacaz bakacağız
ınsallah inşallah
surekli sürekli
gundam gündem
seklini şeklini
şaham şahım
arastırmaları araştırmaları
artirici arttırıcı
bıraz biraz
eklenebılırdı eklenebilirdi
ço çok
aldanmayin aldanmayın
çk çok
minnettarim minnettarım
yapılabılır yapılabilir
cekiniyor çekiniyor
nasl nasıl
ziyaretcilerin ziyaretçilerin
hakkiyla hakkıyla
basladilar başladılar
iyiidi iyiydi
iddaa iddia
icini içini
gures güreş
icine içine
reno Renault
heralde herhalde
mukemel mükemmel
gerekıyor gerekiyor
anlamadigim anlamadığım
olacaktr olacaktır
koymuslar koymuşlar
olacakti olacaktı
çıkarmıs çıkarmış
vampires vampire
digerlerinin diğerlerinin
waters Water
serıler seriler
yerı yeri
havasi havası
tatmın tatmin
icime içime
gozukse gözükse
bemce bence
diolar diyorlar
seylerin şeylerin
özellkle özellikle
kımı kimi
ayrildi ayrıldı
anlayabılıyor anlayabiliyor
islak ıslak
anlamiyorsunuz anlamıyorsunuz
defalrca defalarca
soylemeden söylemeden
dusunurdum düşünürdüm
vericeğiz vereceğiz
vurmus vurmuş
guzelligi güzelliği
kacis kaçış
bırıydı biriydi
satten saatten
hosunuza hoşunuza
ilgilli ilgili
sımdıden şimdiden
etrafindaki etrafındaki
yapilabilirdi yapılabilirdi
olmayacaksiniz olmayacaksınız
manzaları manzaraları
egitici eğitici
farkli farklı
gelisi gelişi
beğendimm beğendim
profesyönel profesyonel
karsımıza karşımıza
yapilarak yapılarak
dorduncu dördüncü
hatalarini hatalarını
surus sürüş
diyom diyorum
krızıne krizine
iliskilerde ilişkilerde
venedikte Venedik'te
genclik gençlik
zman zaman
alinca alınca
hazılık hazırlık
kazandirdi kazandırdı
ayrilan ayrılan
eglencenin eğlencenin
düsüyor düşüyor
mevcur mevcut
diyosunuz diyorsunuz
gıdılır gidilir
aglayan ağlayan
cıkmama çıkmama
söylüyolar söylüyorlar
kiyafetlerini kıyafetlerini
yenı yeni
olmalari olmaları
cagan çağan
soylenebilir söylenebilir
uyandim uyandım
yapılmıştr yapılmıştır
arabalariyla arabalarıyla
onemsiz önemsiz
bilmiyorsaniz bilmiyorsanız
yaşli yaşlı
kullandiklari kullandıkları
alinan alınan
osmanli osmanlı
fazka fazla
oynadıgımız oynadığımız
karsisindaki karşısındaki
ıkımız ikimiz
azcik azıcık
degiyor değiyor
duruyo duruyor
tereddütü tereddüt
sağlik sağlık
calısma çalışma
dunyadan dünyadan
seylerde şeylerde
olarakk olarak
icindeki içindeki
arastırma araştırma
anlatılabılırdı anlatılabilirdi
ayriliyor ayrılıyor
hirsiz hırsız
secer seçer
cıkmadı çıkmadı
cocuklarla çocuklarla
kıng King
arsında ardında
alacagiz alacağız
olsalardi olsalardı
dikatli dikkatli
diyebilrim diyebilirim
katiliyorum katılıyorum
fotograftan fotoğraftan
kirilan kırılan
alacagim alacağım
gelmıstır gelmiştir
degerlendirildiginde değerlendirildiğinde
siparis sipariş
edicez edeceğiz
seviyorsaniz seviyorsanız
ayriyeten ayrıyeten
kıme kime
guvenip güvenip
guzrldi güzeldi
dövüs dövüş
yigit yiğit
tapinak tapınak
edicek edecek
şemsiylerin şemsiyelerin
lüften lütfen
yazılmıs yazılmış
parasinin parasının
ugradım uğradım
beyını beyini
ugradık uğradık
degilse değilse
bulmasi bulması
hevesı hevesi
gorevini görevini
kesınler kesinler
cocuklarin çocukların
cöpe çöpe
cocuklarim çocuklarım
derınden derinden
sınız siniz
varkı farkı
diyip deyip
diyin deyin
moyes mayo
anlatilacak anlatılacak
seyleri şeyleri
muren Müren
kacan kaçan
seylere şeylere
sikacak sıkacak
olusan oluşan
satilmasi satılması
gunumuzde günümüzde
kulturunun kültürünün
oduğunu olduğunu
yalin yalın
kotüydü kötüydü
oguzhan Oğuzhan
diyodum diyordum
yapabılmek yapabilmek
olayin olayın
müzkler müzikler
kalkıcak kalkacak
edrım ederim
ıstıyosanız istiyorsanız
kötüü kötü
