simdikilerde şimdikilerde
aciklamasini açıklamasını
Skiles Skileş
aktarmayi aktarmayı
Sia Şia
acımasızin acımasızın
dogmasi doğması
gulecegiz güleceğiz
meraklanmiş meraklanmış
savasmayi savaşmayı
siveler şiveler
acimasizca acımasızca
saglamiyor sağlamıyor
yapisir yapışır
kısımın kışımın
itibarlari itibarları
yüceltildigini yüceltildiğini
kuresini küresini
Brossun Broşsun
Ikide İkide
PIERRE PİERRE
abartiyor abartıyor
akibetinin akıbetinin
birakacagi bırakacağı
yasanmisliga yaşanmışlığa
etkileneceklerı etkilenecekleri
dogumdan doğumdan
yasanmis yasanmış
degistirsinler değiştirsinler
kufurlerdi küfürlerdi
cekmistir çekmiştir
rastlanti rastlantı
Begenecegimi Beğeneceğimi
payini payını
tiri tırı
yüregimize yüreğimize
sikilacaginiz sıkılacağınız
saçlarindan saçlarından
yasamistim yaşamıştım
İHALAR IHALAR
çatisma çatışma
cekselerdi çekselerdi
uçusan uçuşan
burasinin burasının
katmis katmış
dagin dağin
Irina İrina
savasırken savaşırken
çikartirsiniz çıkartırsınız
gotürmek götürmek
hackerı hackeri
butcesine bütçesine
halkinin halkının
uyarlandigini uyarlandığını
çikardigini çıkardığını
sarilmis sarılmış
surukleyıcı sürükleyici
duymayinca duymayınca
Cisse Çişse
sanatcilarda sanatçılarda
benzetmisler benzetmişler
cekilmek çekilmek
fasizan faşizan
satisa satışa
aglamayan ağlamayan
kirmayin kırmayın
edebilecegini edebileceğini
sikilmayacak sıkılmayacak
çikartilmis çıkartılmış
dokunmayi dokunmayı
icerigine içeriğine
igrenclestirdi iğrençleştirdi
yaptiysam yaptıysam
inanmamizi inanmamızı
inanilmasi inanılması
acilardan açılardan
adamiydi adamıydı
simdilik şimdilik
bombanin bombanın
yaptigimiz yaptığımız
begenmezlerse beğenmezlerse
kızdıgında kızdığında
tutarsizliklar tutarsızlıklar
cıkarmış çıkarmış
ları lari
inanmiyordum inanmıyordum
soylerken söylerken
subayi subayı
gururlandim gururlandım
zorlaniyorum zorlanıyorum
yaratmayi yaratmayı
birlesip birleşip
saatimızı saatimizi
düsündürüyor düşündürüyor
duvarindaki duvarındaki
kirikligiydi kırıklığıydı
asırı aşiri
dayanirsak dayanırsak
sergilmiş şergilmiş
uzadigi uzadığı
sıkılmiyorsunuz sikilmiyorsunuz
basroldeki başroldeki
iran ıran
durağanlik durağanlık
bunaltiyor bunaltıyor
enes eneş
ıncığının inciğinin
firsatini fırsatını
birlesmesinden birleşmesinden
cikardiklari çıkardıkları
manzaralarin manzaraların
sinemasini sinemasını
çikip çıkıp
çikin çıkın
sinemasina sinemasına
ECRI ECRİ
saheser şaheser
inanilma inanılma
ısar işar
veremediginden veremediğinden
oyunculuklari oyunculukları
kolayligina kolaylığına
ugrassin uğraşsın
Yureginde Yüreğinde
aylardir aylardır
Işte İşte
savasmasi savaşması
klise klişe
aramanin aramanın
durulmamis durulmamış
kırikliğı kırıklığı
düsünmüştüm düşünmüştüm
Fariz Farız
karıstırdıgım karıştırdığım
mantiksizliklar mantıksızlıklar
Ifritli İfritli
hayalkirikligi hayalkırıklığı
sivas sıvaş
yaraticinizdan yaratıcınızdan
heyecanlanmistim heyecanlanmıştım
burunuyor bürünüyor
şimşeğı şimşeği
kazinmis kazınmış
unlulere ünlülere
birlestiren birleştiren
omrumden ömrümden
çikabilir çıkabilir
caresizlik çaresizlik
çalissinlar çalışsınlar
benzemis benzemiş
gozyaslarimizin gözyaşlarımızın
sasirtacak şaşırtacak
bagliligi bağlılığı
kullanimlari kullanımları
soylarinin soylarının
Sipe Şipe
seveceginiz seveceğiniz
planli planlı
duelloları düelloları
anilan anılan
sasirtmayi şaşırtmayı
makinasiyla makinasıyla
anlatılmiyor anlatılmıyor
sasirtmaya şaşırtmaya
Buldugumsa Bulduğumsa
veremeyecegini veremeyeceğini
eglendiren eğlendiren
gulumseten gülümseten
sapitmislar sapıtmışlar
düsürürdü düşürürdü
uzattilar uzattılar
Barışcı Barışçı
yürüyormus yürüyormuş
hakkettigi hakkettiği
saçlarini saçlarını
Sanrim Sanrım
komunizmden komünizmden
yigini yığını
gecirtebilecek geçirtebilecek
karsinizdaki karşınızdaki
tarzindaki tarzındaki
akiciligi akıcılığı
açilari açıları
alisilagelmis alışılagelmiş
luğu lüğü
karmaşıklıga karmaşıklığa
toplanin toplanın
hastaliklarından hastalıklarından
kazinan kazınan
üzüntüyu üzüntüyü
IZLEMIŞ İZLEMİŞ
düsüncesiyle düşüncesiyle
düsüncem düşüncem
anlayisiyla anlayışıyla
degisince değişince
cikaracaginiz çıkaracağınız
yaratmasi yaratması
dunyamizda dünyamızda
degismeleri değişmeleri
sensinden şensinden
simasinin sımasının
makyajini makyajını
düsünülecek düşünülecek
ararsaniz ararsanız
Harari Hararı
romanlarinda romanlarında
çikariyorlar çıkarıyorlar
VERECEGİNİZ VERECEĞİNİZ
kurtun kürtün
bulunmamiz bulunmamız
çalisilan çalışılan
los lös
legolasın legolaşın
ordularinin ordularının
kapismasi kapışması
hatirlayamamasi hatırlayamaması
basarilarini başarılarını
muzısyenlerın müzisyenlerin
adayligi adaylığı
hakettigi hakettiği
seveceginizi seveceğinizi
bakmasin bakmasın
EKSIK EKSİK
Korine Körine
AKSIYONLUYDU AKSİYONLUYDU
basarilarina başarılarına
yaklasimina yaklaşımına
taradim taradım
rastlanir rastlanır
YENIDEN YENİDEN
sahsimca şahsımca
tanriyi tanrıyı
Savalas Savalaş
begenmedigi beğenmediği
gozukusu gözüküşü
sundaki şundaki
konusmalarında konuşmalarında
okuyucularina okuyucularına
sonlandi sonlandı
kullarim kullarım
emekcılerıne emekçilerine
Astin Astın
izlenirligi izlenirliği
alistigimiz alıştığımız
yilmazi yılmazı
Izleyelim İzleyelim
yerlesmis yerleşmiş
odulleri ödülleri
Allahsiz Allahsız
hakliydi haklıydı
sorunlarini sorunlarını
Izlemekte İzlemekte
yilmaza yılmaza
flulastirmasi flulaştırması
hatirlatmasi hatırlatması
izlemenız izlemeniz
Piscine Pisçine
seansi seansı
oldürülebileceğine öldürülebileceğine
Arabani Arabanı
birakabilirsiniz bırakabilirsiniz
izlenildikce izlenildikçe
detaylandirirken detaylandırırken
cevrenin çevrenin
yatsin yatsın
bakacaktir bakacaktır
kücüklüğünden küçüklüğünden
çıtırlık çitirlik
apayri apayrı
VERDIM VERDİM
elestiriyor eleştiriyor
isçilik işçilik
gorundugunun göründüğünün
boyutlari boyutları
açisiyla açısıyla
çikar çıkar
tartışmasiz tartışmasız
bakmadiniz bakmadınız
amerikanin amerikanın
uymamiş uymamış
basitlestirilip basitleştirilip
noktalarini noktalarını
isyaninin isyanının
FATIH FATİH
kipirdatmadi kıpırdatmadı
musa muşa
sarkilarin şarkıların
elestirildigi eleştirildiği
alindiginda alındığında
hirsizlari hırsızları
unutulmasi unutulması
birtakim birtakım
çakildi çakıldı
serpistirdigi serpiştirdiği
gücleri güçleri
cikarilsaymis çıkarılsaymış
tuvalin tuvalın
farkliligidir farklılığıdır
çocuklugunu çocukluğunu
kazanırim kazanırım
donecegini döneceğini
cetesinin çetesinin
gerçeklestirilmis gerçekleştirilmiş
siradişı sıradışı
ugrasıldıgını uğraşıldığını
degistirmekle değiştirmekle
oynamislar oynamışlar
komikligi komikliği
parcalarindan parçalarından
yarattigini yarattığını
lami lamı
gulundu gülündü
hatalariyla hatalarıyla
yanli yanlı
Macon Maçon
Hatırladıkca Hatırladıkça
kiyilarindan kıyılarından
catlardi çatlardı
cikabilmesine çıkabilmesine
izlettirdigi izlettirdiği
atildi atıldı
inandigim inandığım
elestirmeniz eleştirmeniz
ciftlestirmek çiftleştirmek
kaybettigini kaybettiğini
güldum güldüm
cozemedikleri çözemedikleri
takilirken takılırken
kipirdamadan kıpırdamadan
tanitmiyor tanıtmıyor
olugunu ölüğünü
ortalari ortaları
topladiklari topladıkları
elestirmenin eleştirmenin
dükkaninda dükkanında
tarık tarik
Cingozun Cingözün
önyargiyi önyargıyı
gerçegi gerçeği
suclayıp suçlayıp
gerçege gerçeğe
soyleyebilirdim söyleyebilirdim
yansitmalisiniz yansıtmalısınız
Illa İlla
sığdıramiyoruz sığdıramıyoruz
performanslarini performanslarını
BASLADIĞI BAŞLADIĞI
kufrettikce küfrettikçe
senaryolarindan senaryolarından
yaşamin yaşamın
katilmiyorum katılmıyorum
çarpitip çarpıtıp
sinamasına sınamasına
yazilarini yazılarını
varilamaz varılamaz
performanslarina performanslarına
Çocuklugumuzda Çocukluğumuzda
efkarlandiktan efkarlandıktan
etkileyecegine etkileyeceğine
denegimi deneğimi
ucte üçte
tanitimlar tanıtımlar
GUCSUZLERE GÜÇSÜZLERE
buyuleyen büyüleyen
olamamalari olamamaları
kiziyorum kızıyorum
belcikada belçikada
bulanmadi bulanmadı
Ilki İlki
inanilan inanılan
geçirdigimizi geçirdiğimizi
donersek dönersek
bilecegini bileceğini
sanatcilarimiza sanatçılarımıza
dublaji dublajı
Callas Çallaş
yakalamalisiniz yakalamalısınız
yonetmenın yönetmenin
parcayi parçayı
yanin yanın
duzeye düzeye
dusunmeyi düşünmeyi
Izleyenlerin İzleyenlerin
çekildigi çekildiği
siirsel şiirsel
anlatimla anlatımla
dusunmeye düşünmeye
atilan atılan
sahitlik şahitlik
odaksiz odaksız
tutamayacagınızdan tutamayacağınızdan
tuyo tüyo
düsünmüyordum düşünmüyordum
anlatiliyor anlatılıyor
yapisarak yapışarak
bısıler bişiler
beslendigi beşlendiği
buyuttugume büyüttüğüme
peydahlaniyor peydahlanıyor
mintika mıntıka
karsilastirdigimda karşılaştırdığımda
izleyisimde izleyişimde
yaklasın yaklaşın
sisirilmez şişirilmez
Batista Batışta
komunizme komünizme
almazsiniz almazsınız
seansinda seansında
ızlemeyın izlemeyin
manyağıyim manyağıyım
Türklügünü Türklüğünü
hesaplamisim hesaplamışım
Kami Kamı
disimiz dışımız
cikmadim çıkmadım
üstlendigi üstlendiği
katsaniz katsanız
donustugunu dönüştüğünü
gitmeyeceginize gitmeyeceğinize
yasantisini yaşantısını
prologu proloğu
cektiginiz çektiğiniz
arttikca arttıkça
aglayacakken ağlayacakken
yanisira yanısıra
kusurlarini kusurlarını
Korelilere Körelilere
bakilip bakılıp
dayandigindandir dayandığındandır
yazanlarin yazanların
ucmalar uçmalar
cektiremem çektiremem
gozlerimden gözlerimden
kusurlarina küsurlarına
Izlemekle İzlemekle
kotuleyen kötüleyen
surukluyor sürüklüyor
düsünme düşünme
dolasmadigini dolaşmadığını
huzunlendiriyor hüzünlendiriyor
çikartiyorum çıkartıyorum
Güres Güreş
sart şart
donusur donuşur
basariyor başarıyor
sishane şişhane
basini basını
cevirmis çevirmiş
eşkiya eşkıya
ozlemediniz özlemediniz
uymamis uymamış
Sica Sıça
gecemez geçemez
ERKEGİN ERKEĞİN
Lupe Lüpe
Ilgi Ilgı
abartilar abartılar
animsatti anımsattı
gore göre
abartilan abartılan
yercekimi yerçekimi
Çarli Çarlı
klisesinden klişesinden
birkac birkaç
sikilsa sıkılsa
kopacagi kopacağı
uclariyla uçlarıyla
dogalliklariyla doğallıklarıyla
goçmen göçmen
çikilarak çıkılarak
sabirsizlaniyorum sabırsızlanıyorum
ölcüde ölçüde
basima basıma
İkea Ikea
baglanacagini bağlanacağını
seyretmeyın seyretmeyin
gercekcılık gerçekçilik
Skeclerdeki Skeçlerdeki
yaşlanmamis yaşlanmamış
zorlamislar zorlamışlar
yakismadi yakışmadı
uzayi uzayı
Sian Şian
kukreyisi kükreyişi
basarabilen başarabilen
basladigindan başladığından
tartisilacak tartışılacak
tiklattiginda tıklattığında
ilerleyisini ilerleyişini
oynatiyor oynatıyor
kullanilsa kullanılsa
yikacaklarini yıkacaklarını
performanslariyla performanslarıyla
ilerleyis ilerleyiş
sacmalayan saçmalayan
korkutmamalidir korkutmamalıdır
siralamamda sıralamamda
bahsetmemis bahsetmemiş
mızragı mızrağı
kisilerdir kişilerdir
sasirmadim şaşırmadım
birlesiyor birleşiyor
abartiyi abartıyı
gülduren güldüren
yakalayamamis yakalayamamış
kısaltmalari kısaltmaları
abartiya abartıya
BÖCEĞI BÖCEĞİ
Ruşan Rüşan
ilkyarisinda ilkyarısında
utanmadiniz utanmadınız
uyandırmıstı uyandırmıştı
koşesini köşesini
performanslarindan performanslarından
naturellikte natürellikte
basariyla basarıyla
oyuncularini oyuncularını
mihladi mıhladı
begenilmeyebilir beğenilmeyebilir
detaysin detaysın
düsündü düşündü
bahsetmıstım bahşetmiştim
baglılık bağlılık
Lulu Lülü
metalastiran metalaştıran
Içinde İçinde
odaklanmasini odaklanmasını
oyuncularina oyuncularına
turer türer
degistirebilirdi değiştirebilirdi
sikiyim şıkıyım
gosterilmemeliydi gösterilmemeliydi
sensinde şensinde
cezalandirilacagi cezalandırılacağı
sani şanı
hayiflaniyorum hayıflanıyorum
YINE YİNE
gormediginiz görmediğiniz
saygim saygım
gone göne
ayrintilarini ayrıntılarını
gulersiniz gülersiniz
söylemisler söylemişler
yaptigiyla yaptığıyla
benzettigimi benzettiğimi
ayrintilarina ayrıntılarına
çocugunda çocuğunda
akisa akışa
elestirilir eleştirilir
anlatimdi anlatımdı
butcelerle bütçelerle
basardiniz basardınız
okumayi okumayı
oldurulmesini öldürülmesini
elestirmen eleştirmen
bulmalariydi bulmalarıydı
yagdirmayi yağdırmayı
küresellesmeyle küreselleşmeyle
elestirmek eleştirmek
kivrimlarinda kıvrımlarında
çikintilar çıkıntılar
dostlarinizla dostlarınızla
mantiksizlik mantıksızlık
JOLIE JOLİE
dusuncesine düşüncesine
eleştirmiştır eleştirmiştir
çekilecegini çekileceğini
Artilarini Artılarını
borsanin borsanın
yaptiniz yaptınız
agladıgımı ağladığımı
korkmayi korkmayı
kisilesmeyi kişileşmeyi
yansitmasi yansıtması
bazisi bazısı
dakikayi dakikayı
cekilebilecek çekilebilecek
ugrasilsaymis uğraşılsaymış
Tugruldan Tuğruldan
komedıden komediden
Macci Maççı
yapimiydi yapımıydı
sikildigim sikildiğim
açligindan açlığından
insancil insancıl
Adir Adır
hokkabazliga hokkabazlığa
Yasaklanmasina Yasaklanmasına
gecirecektim geçirecektim
gururlanacagınız gururlanacağınız
gecmısımızın geçmişimizin
kurulacakti kurulacaktı
Devamlilik Devamlılık
bakilan bakılan
gericilige gericiliğe
tanişmak tanışmak
benzemedigi benzemediği
kogusun koğuşun
gulmemistim gülmemiştim
fotografının fotoğrafının
koparamiyor koparamıyor
yogunlastigi yoğunlaştığı
begenmeyenleri beğenmeyenleri
hirsi hırsı
begenmeyenlere beğenmeyenlere
gecilmesinden geçilmesinden
gecmişler geçmişler
kiriliriz kırılırız
tikansa tıkansa
çikamaz çıkamaz
uyusmasini uyuşmasını
cikmislar çıkmışlar
sasali şaşalı
önyargili önyargılı
varlıgın varlığın
dehasinin dehasının
kisaltmislar kısaltmışlar
agaçlik ağaçlık
sinamasinin sınamasının
esprituel espritüel
diyaloglarinda diyaloglarında
arkadasliklarin arkadaşlıkların
Isabetli İsabetli
utancimizdan utancımızdan
korkuncluk korkunçluk
hıssetmıstım hissetmiştim
tune tüne
nasihati nasihatı
Iyilik İyilik
sair şair
yapisiyla yapısıyla
yapamamasi yapamaması
yapilabileceğini yapılabileceğini
gosterisinden gösterisinden
söylesiyi söyleşiyi
cevrenızı çevrenizi
yaratamiyor yaratamıyor
yillariyla yıllarıyla
yozlasmanin yozlaşmanın
ayaklanip ayaklanıp
izlemedigini izlemediğini
yapayalniz yapayalnız
cikilacak çıkılacak
cikarmis çıkarmış
sasirtmaca şaşırtmaca
korkutabilecegim korkutabileceğim
Kurttekin Kürttekin
uclusunden üçlüsünden
akillarda akıllarda
hizi hızı
izleyecegi izleyeceği
sıkici sıkıcı
ICMELIDIR İÇMELİDİR
varligindan varlığından
Comencini Çömencini
dusunmeli düşünmeli
toplumsallasma toplumsallaşma
yillardaki yıllardaki
gunaydinin günaydının
sarhostular sarhoştular
Singın Singin
politikalarini politikalarını
amatörluk amatörlük
Şakir Şakır
kilip kılıp
gosterememısler gösterememişler
İgrençti İğrençti
EDIYOR EDİYOR
yasanmislik yaşanmışlık
Korelilerin Körelilerin
ormanlari ormanları
olmamalilar olmamalılar
kısırlıgı kısırlığı
lagimcilarin lağımcıların
ugratmak uğratmak
uyusmus uyuşmuş
karmasikti karmaşıktı
ızleseymısım izleşeymişim
atmamayi atmamayı
okumasi okuması
ayırdığim ayırdığım
koysalardi koysalardı
guldugumuz güldüğümüz
olusturabilecek oluşturabilecek
goremiyoruz göremiyoruz
bogulurum boğulurum
kullanilip kullanılıp
gerçekciliğe gerçekçiliğe
kullanmis kullanmış
asklari aşkları
İgrenç İğrenç
ciktigindan çıktığından
baglanabilirdi bağlanabilirdi
halkimiz halkımız
konmamis konmamış
hatadasiniz hatadasınız
camıanın camianın
hocanin hocanın
korkmasi korkması
yapilabilecegi yapılabileceği
oncesini öncesini
GÖRÜNMEZLIK GÖRÜNMEZLİK
yapiyorsa yapıyorsa
yiktilar yıktılar
dakikasi dakikası
kasabasinda kasabasında
tasimiyor taşımıyor
insanımıziz insanımızız
yayinlayin yayınlayın
iddiasinin iddiasının
goturememısler götürememişler
yapilmayan yapılmayan
oynanilan oynanılan
kavustugu kavuştuğu
kesilmisse kesilmişse
cökmesi çökmesi
HAZRetLERINI HAZRetLERİNİ
intiharin intiharın
yasanmıslık yasanmışlık
cezasini cezasını
soner söner
dislike dişlike
diyalogundan diyaloğundan
begenilecek beğenilecek
tutmayi tutmayı
konulariyla konularıyla
surprizli sürprizli
anlatmislar anlatmışlar
Ihanet İhanet
düsünüyorken düşünüyorken
anlatamazsin anlatamazsın
surprizle sürprizle
Gencim Gençim
doldurulabilmis doldurulabilmiş
Insanların İnsanların
Izleniyor İzleniyor
ecdadimla ecdadımla
izleyıcısıyım izleyicisiyim
monologunu monoloğunu
bitirmisler bitirmişler
geçmisinde geçmişinde
sinamasinda sınamasında
gosterilmesinden gösterilmesinden
Seyırcilerin Seyircilerin
asinayım aşınayım
islenmemis islenmemiş
sokaklardi sokaklardı
alistigi alıştığı
anlamsizlastirilir anlamsızlaştırılır
cihazini cihazını
gerceklikle gerçeklikle
hoslanmiyorsaniz hoşlanmıyorsanız
oynatilir oynatılır
vicdansiz vicdansız
hatiralardan hatıralardan
onlarcasini onlarcasını
ABSURTLUKLER ABSÜRTLÜKLER
aksani aksanı
hırkasiyla hırkasıyla
ızleyebıleceksenız izleyebilecekseniz
tasinmasi taşınması
farlarinin farlarının
suclular suçlular
vurmasi vurması
kısırlı kışırlı
calisti çalıştı
kiyaslamamak kıyaslamamak
olamadiginiz olamadığınız
gecmeyin geçmeyin
istendigini istendiğini
çikarilacagi çıkarılacağı
cikilmasi çıkılması
yaklaştıkca yaklaştıkça
EKIPMAN EKİPMAN
Korelilerde Körelilerde
ecdadimiz ecdadımız
mantikla mantıkla
sikabilirim sıkabilirim
unutmamayi unutmamayı
yaparcasina yaparcasına
elestirmesinin eleştirmesinin
DEGİL DEĞİL
sorcam şorcam
islenisini islenişini
yildizlik yıldızlık
buyusuyle büyüsüyle
cikarsiniz çıkarsınız
caydirmaktan caydırmaktan
aklimdan aklımdan
inancindan inancından
begenmemin beğenmemin
baglanamadim bağlanamadım
uzattikca uzattıkça
rastlayamiyorsun rastlayamıyorsun
suikastın suikastin
izleyemeyecegiz izleyemeyeceğiz
batmanin batmanın
baskiya baskıya
uyarlamalarinin uyarlamalarının
gelistigini geliştiğini
Suit Süit
onurlandirmislar onurlandırmışlar
anlatiyor anlatıyor
koruyucularındakı koruyucularındaki
dakikami dakikamı
cayirda çayırda
cisinde çişinde
anlayabilmis anlayabilmiş
cıkanlarını çıkanlarını
begenmeyenlerde beğenmeyenlerde
Israel İsrael
sayilarinin sayılarının
begenip beğenip
alamamis alamamış
yüklenilmis yüklenilmiş
alısılagelmısın alışılagelmişin
ihtisamli ihtişamlı
isçiligi işçiliği
savasmak savaşmak
planladigi planladığı
tanisma tanışma
çektigin çektiğin
kesiştigi kesiştiği
karalayanlarin karalayanların
soylentilerde söylentilerde
Cetinin Çetinin
adaletsizligi adaletsizliği
yukseldigi yükseldiği
kiyaslamasinin kıyaslamasının
begenmediyseniz beğenmediyseniz
yurutulen yürütülen
kayinbaba kayınbaba
ayirsaydiniz ayırsaydınız
mafyayi mafyayı
birakir bırakır
tartisir tartışır
aydinligi aydınlığı
kollarini kollarını
uyandirmasiyla uyandırmasıyla
basitligine basitliğine
fetusun fetüsün
SINEMA SİNEMA
aydinliga aydınlığa
inanirken inanırken
kollarina kollarına
Sarhoşlugu Sarhoşluğu
yasanilacak yaşanılacak
begenisini beğenişini
begenisine beğenişine
noktalarimizdan noktalarımızdan
değistirmediği değiştirmediği
alkışlayacagım alkışlayacağım
edindigini edindiğini
Rahatligi Rahatlığı
gecirmelik geçirmelik
gulmusumdur gülmüşümdür
katilmam katılmam
dusurun düşürün
katmamis katmamış
söylesini söyleşini
bağlanmiyor bağlanmıyor
gidecegi gideceği
uzatir uzatır
aptallik aptallık
İrana Irana
rastlanacagını rastlanacağını
kurmayin kurmayın
gercekcidir gerçekçidir
gormeyenin görmeyenin
kirsal kırsal
Izlemelisiniz İzlemelisiniz
cilerden çilerden
açikça açıkça
Finlandiyali Finlandiyalı
ogreneceksin öğreneceksin
akisini akısını
anlatilabilecek anlatılabilecek
anlatilsa anlatılsa
cattı çattı
kardese kardeşe
hincliyim hınçlıyım
Sigman Sığman
Karanliktakiler Karanlıktakiler
açilmis açılmış
ekilmis ekilmiş
kazandırdıgı kazandırdığı
tanittiginiz tanıttığınız
beceremedigini beceremediğini
anlatilisi anlatılışı
düsünüyor düşünüyor
tasiyacagina taşıyacağına
hoyratca hoyratça
sinemamiz sinemamız
vuramamasi vuramaması
kiliginda kılığında
olamamisti olamamıştı
transporterın transporterin
tanisir tanışır
oyugunda oyuğunda
emegin emeğin
karsilastirirsak karşılaştırırsak
Istediğimiz İstediğimiz
alintilayarak alıntılayarak
yapilmisti yapılmıştı
dusuncelerine düşüncelerine
umugune ümüğüne
görüsleriyle görüşleriyle
etkiledigi etkilediği
sayikliyor sayıklıyor
savunmasi savunması
gorsellikler görsellikler
ostrojen östrojen
ufakligin ufaklığın
cıktığımda çıktığımda
elestirecekseniz eleştirecekseniz
calistim çalıştım
ciktigi çıktığı
beğenecegi beğeneceği
yarilarinin yarılarının
ciktiginizda çıktığınızda
savasçi savaşçı
sehrini şehrini
Yonetmenini Yönetmenini
cekımlerın çekimlerin
izlettigim izlettiğim
indirmistim indirmiştim
çalismislar çalışmışlar
degisikliklerden değişikliklerden
kisacik kısacık
takiyor takıyor
bulasmamak bulaşmamak
kiç kıç
sayilan sayılan
cakmis çakmış
Içlerinde İçlerinde
yarısinda yarısında
korelinin körelinin
kurtaramadi kurtaramadı
gevseyebilir gevşeyebilir
yasandigi yaşandığı
çikardigindan çıkardığından
arsivinizin arşivinizin
Ayyaşlik Ayyaşlık
KESİNLIKLE KESİNLİKLE
sunlar şunlar
tasiyarak taşıyarak
ıkısıde ikiside
sanatsallik sanatsallık
aliciydi alıcıydı
gözyaslarınızı gözyaşlarınızı
kuguyken kuğuyken
parlatiyor parlatıyor
yansitmislar yansıtmışlar
kirkbes kırkbeş
anlamasiz anlamasız
demislerdir demişlerdir
çoktüğü çöktüğü
ogrenir öğrenir
yargilarinizi yargılarınızı
olmamizi olmamızı
yapimcinin yapımcının
Damarlarinda Damarlarında
mafyasi mafyası
öldürmüssünüz öldürmüşsünüz
zorlasti zorlaştı
anlamasin anlamasın
begenilmesinin beğenilmesinin
baslamisti başlamıştı
gidisler gidişler
görüluk görülük
Sandin Sandın,Şandın
dallari dalları
bulandirmadan bulandırmadan
cirpinirsin çırpınırsın
cekicini çekicini
kotude kötüde
kliselesmis klişeleşmiş
sinirlarini sınırlarını
yaptigi yaptığı
oyunculariyla oyuncularıyla
calisir çalışır
hayatıni hayatını
Istanbul İstanbul
kumlari kumları
arastirin araştırın
onyargi önyargı
alkisladik alkışladık
fonksiyonlarini fonksiyonlarını
kipirdatmayisini kıpırdatmayışını
sinıf sınıf
yapilamadigina yapılamadığına
çeliskiler çelişkiler
ciktigini çıktığını
yazdi yazdı
beklememelısınız beklememelisiniz
verilmistir verilmiştir
doyurmayi doyurmayı
kullanilabilirdi kullanılabilirdi
kavramini kavramını
yansitilmaya yansıtılmaya
duyalim duyalım
müzikalın müzikalin
yureginize yüreğinize
anladigim anladığım
kulubeye kulübeye
FIRE FİRE
çöküsün çöküşün
halihazirda halihazırda
düstüler düştüler
okumamdir okumamdır
ustaligini ustalığını
ulkemize ülkemize
arkadasiyla arkadaşıyla
yaramadigini yaramadığını
sevmisimdir sevmişimdir
kalanini kalanını
hakkınin hakkının
bayildigini bayıldığını
gozunden gözünden
baslatilmasini başlatılmasını
Biçakli Bıçaklı
gozyaslarinizi gözyaşlarınızı
kovalayip kovalayıp
taşımayi taşımayı
gozyaslariniza gözyaşlarınıza
pekisir pekişir
düsünmedim düşünmedim
cekmisti çekmişti
sonuclandirilmadigi sonuçlandırılmadığı
icimden içimden
Amaçlari Amaçları
arkadasimdan arkadaşımdan
İŞID İŞİD
metrajin metrajın
saçmalamis saçmalamış
kiyasladigimizda kıyasladığımızda
elestirisini eleştirisini
sahnelerının şahnelerinin
elestirisine eleştirişine
unuttugunuz unuttuğunuz
aglamam ağlamam
acimasina acımasına
aglamak ağlamak
oyalansin oyalansın
killica kıllıca
kargasası kargaşası
tanitilmasi tanıtılması
asiksaniz aşıksanız
agirligimiz ağırlığımız
fotografçılığı fotoğrafçılığı
Ikiz İkiz
konstruktivist konstrüktivist
Calista Çalışta
bolunmüş bölünmüş
makbuldur makbuldür
iliskisini ilişkisini
sasirdim şaşırdım
duygularıni duygularını
klasiklesen klasikleşen
Antti Anttı
iliskisine ilişkisine
planiydi planıydı
Içimiz İçimiz
namazim namazım
seytana şeytana
ajani ajanı
dusurseniz düşürseniz
sasiyorum sasıyorum
amacini amacını
cocuğuna çocuğuna
alindiğini alındığını
urktum ürktüm
abartıldi abartıldı
amacina amacına
almistir almıştır
çapindaki çapındaki
musriflik müsriflik
isinmadi ışınmadı
kiyaslamam kıyaslamam
söyledigimiz söylediğimiz
kiyaslamak kıyaslamak
gösterişci gösterişçi
abartiyorum abartıyorum
esınızde eşinizde
yananci yanancı
koymazsaniz koymazsanız
olusunun ölüsünün
çalışiyor çalışıyor
kismin kısmin
kazandirmayalim kazandırmayalım
karanliklastiriyor karanlıklaştırıyor
düsmüs düşmüş
duvarlarin duvarların
CIDDEN CİDDEN
cikamama çıkamama
anlatilir anlatılır
FINK FİNK
güzellestiriyor güzelleştiriyor
padisahi padişahı
cekse çekse
gonderme gönderme
nihayetınde nihayetinde
kazanilmamiş kazanılmamış
gecim geçim
düsünceler düşünceler
demedigim demediğim
ucurumdakı uçurumdaki
karsiysaniz karşıysanız
basariliydi başarılıydı
Balki Balkı
atlamasi atlaması
sadeligine sadeliğine
dusundurebilecek düşündürebilecek
oykusu öyküsü
yırttim yırttım
cirpinip çırpınıp
sacmalamislar saçmalamışlar
dokmustum dökmüştüm
BIZLERE BİZLERE
cekimlerinde çekimlerinde
düsünmeden düşünmeden
bagliyorum bağlıyorum
seyrettigim seyrettiğim
begenenlerin beğenenlerin
atlamalarini atlamalarını
basarisindaki başarışındaki
yükselise yükselişe
basarıyor başarıyor
yaratsaydin yaratsaydın
tanitimi tanıtımı
tattim tattım
verisleri verişleri
guldurmek güldürmek
seyırler seyirler
luğunun lüğünün
yapamadigimiz yapamadığımız
yansitilmasi yansıtılması
uzatiyorsunuz uzatıyorsunuz
ictenlikleriyle içtenlikleriyle
süphesiz şüphesiz
öpüsme öpüşme
güzellesiyor güzelleşiyor
